# 文字层坐标表 (x_pt, y_pt, 字高, 文本) —— 页面 A3(pt) 1786.25 x 861.48
# x=0.0
405.5	123.3	5.2	EN
399.6	119.7	5.2	4
405.5	65.7	5.2	IN
399.6	62.1	5.2	5
434.9	65.7	5.2	SW
446.4	62.1	5.2	6
399.2	54.3	5.2	DCDC1
298.4	61.5	5.2	USB-VBUS
341.6	119.1	5.2	DCDC_EN
496.4	115.5	5.2	R5
496.4	129.9	5.2	124k
507.8	130.6	5.2	Ω
950.6	141.3	5.2	NC
961.2	137.7	5.2	1
950.6	134.1	5.2	NC
961.2	130.5	5.2	2
947.4	126.9	5.2	SDA
961.2	123.3	5.2	3
948.0	119.7	5.2	SCL
961.2	116.1	5.2	4
950.9	112.5	5.2	RS
961.2	108.9	5.2	5
947.4	105.3	5.2	RES
961.2	101.7	5.2	6
950.9	98.1	5.2	CS
961.2	94.5	5.2	7
946.5	90.9	5.2	GND
961.2	87.3	5.2	8
950.6	83.7	5.2	NC
961.2	80.1	5.2	9
947.1	76.5	5.2	VCC
961.2	72.9	5.2	10
944.5	69.3	5.2	LEDK
961.2	65.7	5.2	11
944.5	62.1	5.2	LEDA
961.2	58.5	5.2	12
946.5	54.9	5.2	GND
961.2	51.3	5.2	13
932.0	43.5	5.2	LCD1
806.0	151.5	5.2	N114-2413THBIG01-H13
482.0	57.9	5.2	L1
482.0	72.3	5.2	10uH
580.7	61.5	5.2	3V3
975.2	122.7	5.2	LCD_SDA
377.6	104.7	5.2	R3
366.8	111.9	5.2	510k
378.2	112.6	5.2	Ω
975.2	115.5	5.2	LCD_SCK
975.2	108.3	5.2	LCD_DC
975.2	101.1	5.2	LCD_RES
975.2	93.9	5.2	LCD_CS
345.2	72.3	5.2	C2
338.0	86.7	5.2	4.7uF
695.7	341.5	5.2	OUT
689.8	337.9	5.2	1
695.7	334.3	5.2	GND
689.8	330.7	5.2	2
695.7	327.1	5.2	IN+
689.8	323.5	5.2	3
726.6	327.1	5.2	IN-
736.6	323.5	5.2	4
726.6	341.5	5.2	VS
736.6	337.9	5.2	5
694.4	317.1	5.2	U1
